,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
634,634,Chris Long,"Twin Cities, MN","KSTP-TV Sports (Twin Cities, MN) | 'Just tryin to capture the spirit of the thing' | #Mizzou Tiger | DC native | Stops in SAN, DLH, IND, SWFL | #COYS",True,2022-10-02 06:46:03+00:00,"Here are the extended highlights and interviews... just for you night owl #Timberwolves fans!

https://t.co/IQQrRnGjb8 https://t.co/SwUSiC5ktn",['Timberwolves'],TweetDeck
635,635,Tim Buktu,"St Paul, MN",RAD Dad. Disabled but drawing to stay sane. https://t.co/KKwQ74Wb4e,False,2022-10-02 05:41:23+00:00,I went to the Wolves scrimmage and Rudy Gobert is an insanely large man. The vibe around this team is so fun right now. #Timberwolves,['Timberwolves'],Twitter for iPhone
636,636,Dean De Jesus,Valenzuela,12up and Fan Sided Affiliate / Social Media Influencer / PG/SG / NBA 2K Gamer / Laker Fan since 2001,False,2022-10-02 05:10:57+00:00,"Minnesota Timberwolves may have the best ""swiss army knife"" in NBA

https://t.co/gCH8Oc7DRW

#nba #raisedbywolves #minnesota #timberwolves #NBAJapanGames #NBA2K23 #NBAJapanGames2022 #NBAPreseason #NBAMediaDay","['nba', 'raisedbywolves']",Twitter Web App
637,637,Minnesota Sports,Minnesota,"Vikings, Twins, Timberwolves and Wild sports news and history.  Skol!",False,2022-10-02 04:50:03+00:00,"""A Lot Of Excitement Around This Team."" Chris Finch | Timberwolves Training Camp Sound #Minnesota #Timberwolves #NBA Video: https://t.co/ESxsRjB2dl","['Minnesota', 'Timberwolves']",RetroSeasons Minnesota
638,638,KSTPSports,"St. Paul, MN","KSTP-TV Channel 5, the upper Midwest's first commercial television station, is owned by the pioneering broadcasting company Hubbard Broadcasting, Inc.",True,2022-10-02 03:33:43+00:00,"Straight ahead on @KSTPSports, @ChrisLongKSTP has:

•Homecoming horror for #Gophers
•@GopherHockey's fab frosh shines in opener
•#Timberwolves, Gobert at Target Center
•#MnTwins chase .500, batting title
•#MNUFC trying to stop slide, make playoffs

All at 10:45 on @KSTP! https://t.co/Jf3wLUzH9r",['Gophers'],TweetDeck
639,639,Darrick,"Minnesota, USA",,False,2022-10-02 03:21:19+00:00,@DaWang16 Not getting past #Timberwolves!,['Timberwolves'],Twitter for Android
640,640,Love NBA,,NAB Fanbase,False,2022-10-02 03:07:02+00:00,"2022 #Wolves Postseason Hype Video
 
https://t.co/T309WlMTlg
 
#Ant #AnthonyEdwards #DAngeloRussell #DLo #KarlAnthonyTowns #Kat #Minnesota #MinnesotaTimberwolves #NBA #NorthwestDivision #Timberwolves #WesternConference https://t.co/DJCeJNOuXt","['Wolves', 'Ant', 'AnthonyEdwards', 'DAngeloRussell', 'DLo']",love.nba
641,641,Raw Chili,,,False,2022-10-02 00:40:02+00:00,"[Alan Horton] 30 minutes after Fan Fest Rudy Gobert was still signing ... 
 
https://t.co/BL9fAHY7Z5
 
#Basketball #Minneapolis #Minnesota #MinnesotaTimberwolves #NationalBasketballAssociation #NBA #NBAWesternConference #NBAWesternConferenceNorthwestDivision #Timberwolves https://t.co/Zx5jOJwPjn",['Basketball'],raw-chili
642,642,PostUpVideos.com,"Fort Lauderdale, FL","We are revolutionizing how fanatical fans follow their favorite NBA teams, players and NBA Content Creators at https://t.co/kiMTwYwM5i .",False,2022-10-02 00:33:29+00:00,"NEW VIDEO TO WATCH:

""How Andrew Wiggins Revived His Career"" 

Creator:  jordanelite1

Brand New NBA Fan Video Platform: https://t.co/2f2wTS5laG

#NBA #Timberwolves

https://t.co/2pl0r01Lsa https://t.co/a6R6o6mOY9",,Blog2Social APP
643,643,Minnesota Mike’s Podcast,"Minneapolis, MN",Not your ordinary Minnesota Sports Podcast! New episodes weekly with great guest and food reviews. Live on all audio platforms and YouTube. Link in bio 👇🏿,False,2022-10-01 23:49:03+00:00,@Timberwolves Fan Fest was a lot of fun. Will be one of the most talented rosters in the league this year. Was interesting seeing @IowaHoops star Luka Garza play for MN! Rooting for him. Hope he finds success with the Wolves organization. #NBA #Timberwolves #Wolfpack #Minnesota https://t.co/CsrX8wyu47,,Twitter for iPhone
644,644,Chris Long,"Twin Cities, MN","KSTP-TV Sports (Twin Cities, MN) | 'Just tryin to capture the spirit of the thing' | #Mizzou Tiger | DC native | Stops in SAN, DLH, IND, SWFL | #COYS",True,2022-10-01 22:28:30+00:00,"Headed back from #Timberwolves Fan Fest at Target Center.

Solid crowd got an entertaining show from the squad.

*Definitely* a different feel among the fanbase going into this season.

We’ll have a few highlights + interviews on @KSTP &amp; https://t.co/o8jg8QKX6T later tonight. https://t.co/1NPb0H1bLR",['Timberwolves'],Twitter for iPhone
645,645,Kimberly Steward,Minneapolis,Art Direction | Makeup | Hair | WardrobeStyling | Influencer | Contributor | Founder #Lipstick365 | #LeadHairStylist @DearWhitePeople movie,False,2022-10-01 21:56:12+00:00,Back at the @target center with @tiffylake for a @Timberwolves practice and scrimmage. #packpix #NBA #Timberwolves https://t.co/QbCFPzyTG4,"['packpix', 'NBA', 'Timberwolves']",Twitter for Android
646,646,Joseph heili,Minneapolis MN,"planting, biking, camping, boarding, crocheting, aquaponics, and loving the 612.",False,2022-10-01 21:52:45+00:00,@Timberwolves @Jmcdaniels7 Tall AF all of a sudden #timberwolves,['timberwolves'],Twitter for Android
647,647,Wolves Lead,"Minneapolis, MN",Where casual Wolves fans become diehards | @theleadsm | #WolvesBack #RaisedByWolves,False,2022-10-01 21:16:27+00:00,"College Night tix now available for select #Timberwolves games this season!

Let’s fill the @TargetCenterMN stands for what could be one of our best years yet 🐺
https://t.co/UzNuRoEuqc",['Timberwolves'],Twitter for iPhone
648,648,Dunking With Wolves,"Minneapolis, MN",The official @Timberwolves site on the @FanSided network. Site experts: @milroyigglesfan @WillCEudy,True,2022-10-01 21:03:35+00:00,"If you know that you have the NBA's best rim protector, clap your hands 👏👏👏🐺🏀
The Minnesota Timberwolves boast of having the ""Best rim protector on the planet"" 
#RaisedByWolves #Timberwolves #RudyGobert
(via @milroyigglesfan)

 https://t.co/V9zvWwCS0Q https://t.co/ysIOyFCQoL",,Twitter Web App
649,649,Dunking With Wolves,"Minneapolis, MN",The official @Timberwolves site on the @FanSided network. Site experts: @milroyigglesfan @WillCEudy,True,2022-10-01 21:01:02+00:00,"If you know that you have the NBA's best rim protector, clap your hands 👏👏👏🐺🏀
The Minnesota Timberwolves boast of having the ""Best rim protector on the planet"" 
#RaisedByWolves #Timberwolves #RudyGobert
(via @milroyigglesfan)

 https://t.co/V9zvWwCS0Q",,Twitter Web App
