,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
1137,27827,2015-11-06T00:00:00.000Z,119,4,False,2015,Final, ,104,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1138,27828,2015-11-07T00:00:00.000Z,94,4,False,2015,Final, ,86,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1139,27829,2015-11-09T00:00:00.000Z,109,4,False,2015,Final, ,95,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
1140,27830,2015-11-10T00:00:00.000Z,118,4,False,2015,Final, ,114,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1141,27831,2015-11-11T00:00:00.000Z,98,4,False,2015,Final, ,106,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1142,27832,2015-11-13T00:00:00.000Z,102,4,False,2015,Final, ,97,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1143,27833,2015-11-14T00:00:00.000Z,92,4,False,2015,Final, ,83,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1144,27834,2015-11-15T00:00:00.000Z,96,4,False,2015,Final, ,97,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1145,27835,2015-11-16T00:00:00.000Z,95,4,False,2015,Final, ,111,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1146,27836,2015-11-17T00:00:00.000Z,115,4,False,2015,Final, ,86,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1147,27837,2015-11-18T00:00:00.000Z,109,4,False,2015,Final, ,98,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1148,27838,2015-11-18T00:00:00.000Z,97,4,False,2015,Final, ,103,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
1149,27839,2015-11-19T00:00:00.000Z,117,4,False,2015,Final, ,124,13,LAC,LA,West,Pacific,LA Clippers,Clippers,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
1150,27840,2015-11-20T00:00:00.000Z,96,4,False,2015,Final, ,84,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1151,27841,2015-12-25T00:00:00.000Z,96,4,False,2015,Final, ,105,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
1152,27842,2015-12-26T00:00:00.000Z,96,4,False,2015,Final, ,111,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1153,27843,2015-12-26T00:00:00.000Z,104,4,False,2015,Final, ,111,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1154,27844,2015-12-27T00:00:00.000Z,122,4,False,2015,Final, ,112,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1155,27845,2015-12-28T00:00:00.000Z,93,4,False,2015,Final, ,87,12,IND,Indiana,East,Central,Indiana Pacers,Pacers,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1156,27846,2015-12-29T00:00:00.000Z,87,4,False,2015,Final, ,93,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1157,27847,2015-12-30T00:00:00.000Z,117,4,False,2015,Final, ,122,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,13,LAC,LA,West,Pacific,LA Clippers,Clippers
1158,27848,2016-01-02T00:00:00.000Z,98,4,False,2015,Final, ,105,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
1159,27849,2016-01-03T00:00:00.000Z,106,4,False,2015,Final, ,112,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1160,27850,2016-01-04T00:00:00.000Z,94,4,False,2015,Final, ,103,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1161,27851,2016-01-05T00:00:00.000Z,117,4,False,2015,Final, ,106,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1162,27852,2016-01-06T00:00:00.000Z,115,4,False,2015,Final, ,121,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1163,27853,2016-01-07T00:00:00.000Z,118,4,False,2015,Final, ,115,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1164,27854,2016-01-08T00:00:00.000Z,91,4,False,2015,Final, ,84,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1165,27985,2015-10-28T00:00:00.000Z,85,4,False,2015,Final, ,105,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1166,27986,2015-10-30T00:00:00.000Z,113,4,False,2015,Final, ,118,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1167,27987,2015-10-31T00:00:00.000Z,90,4,False,2015,Final, ,101,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1168,27988,2015-11-01T00:00:00.000Z,92,4,False,2015,Final, ,94,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
1169,27989,2015-11-02T00:00:00.000Z,102,4,False,2015,Final, ,96,13,LAC,LA,West,Pacific,LA Clippers,Clippers,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1170,28049,2015-10-28T00:00:00.000Z,97,4,False,2015,Final, ,122,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
1171,28050,2015-10-30T00:00:00.000Z,78,4,False,2015,Final, ,95,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
1172,28051,2015-12-26T00:00:00.000Z,98,4,False,2015,Final, ,92,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1173,28052,2015-12-26T00:00:00.000Z,105,4,False,2015,Final, ,76,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1174,28053,2015-12-27T00:00:00.000Z,100,4,False,2015,Final, ,91,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
1175,28054,2015-12-28T00:00:00.000Z,108,4,False,2015,Final, ,98,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1176,28055,2015-12-30T00:00:00.000Z,105,4,False,2015,Final, ,110,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1177,28056,2015-12-31T00:00:00.000Z,110,4,False,2015,Final, ,106,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1178,28057,2016-01-01T00:00:00.000Z,103,4,False,2015,Final, ,91,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1179,28058,2016-01-02T00:00:00.000Z,90,4,False,2015,Final, ,109,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
